date,btc_monthly_price,btc_open,btc_high,btc_low,btc_close,btc_volume,tot_for_purch_us_sec,tot_for_sale_us_sec,net_tot_for_purch_us_sec,net_tot_priv_for_purch_us_sec,net_priv_for_purch_us_treas_bond_note,net_priv_for_purch_us_gov_agcy_bond,net_priv_for_purch_us_corp_bond,net_priv_for_purch_us_equity,net_tot_gov_for_purch_us_sec,net_gov_for_purch_us_treas_bond_note,net_gov_for_purch_us_gov_agcy_bond,net_gov_for_purch_us_corp_bond,net_gov_for_purch_us_equity,tot_dom_sale_for_sec,tot_dom_purch_for_sec,net_dom_purch_for_sec,net_dom_purch_for_bond,net_dom_purch_for_equity,net_for_purch_dom_longterm_sec,net_for_purch_us_t_bills_custodial,tot_for_hold_us_t_bills,tot_priv_for_hold_us_t_bills,tot_gov_for_hold_us_t_bills,tot_month_change_dom_bank_liab_for_inflow,month_change_bank_liab_priv_for_inflow,month_change_bank_liab_gov_for_inflow,month_change_bank_liab_all_for_inflow,cpi_u,gold_price,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,usdx_close,usdx_open,usdx_high,usdx_low,10yr_bond_close,10yr_bond_open,10yr_bond_high,10yr_bond_low,10yr_bond_pct_change
2021-Jun,35809.1,37293.79237,41295.26857,28893.62166,35040.83725,1.07E+12,5932986,5860345,72641,80856,30063,6934,13271,30588,-8215,-19200,15808,564,-5387,2346138,2307823,38315,30747,7568,76476,20108,38901,65554,-26653,-82650,13934,61677,-47743,271.696,1834.57,4216.52,4302.43,4164.4,4297.5,1.03E+11,92.188,92.355,93.195,91.78,1.468,1.608,1.639,1.354,-0.0713
2021-May,46689.67,57714.66486,59519.35443,30681.49691,37332.85369,8.78E+11,4758035,4798619,-40584,-41856,-77810,15682,17889,2383,1272,-15546,22136,-579,-4739,2170357,2159696,10661,26265,-15604,-61789,-1415,-17925,6170,-24095,151675,88471,92313,-3842,269.195,1850.26,4191.98,4238.04,4056.88,4204.11,88321860000,92.431,89.795,92.44,89.65,1.581,1.631,1.707,1.469,-0.0278
2021-Apr,57154.9,58926.56415,64863.09891,47159.48584,57750.17735,1.19E+12,4848766,4755311,93455,57317,43833,18269,10158,-14943,36138,5739,28518,-10,1891,2342257,2334850,7407,37057,-29650,57939,-49169,-60728,-20342,-40386,80427,89197,84138,5059,267.054,1760.04,3992.78,4218.78,3992.78,4181.17,83124090000,89.993,91.27,91.435,89.515,1.626,1.737,1.753,1.528,-0.0677
2021-Mar,54689.45,45159.50305,61683.86401,45115.09311,58918.83271,1.98E+12,6472004,6264319,207685,141755,71062,2918,39647,28128,65930,47811,10874,3496,3749,2615988,2561735,54253,63084,-8831,220153,-55894,-69073,-23437,-45636,-24824,139435,111066,28369,264.877,1718.23,3842.51,3994.41,3723.34,3972.89,1.22E+11,91.27,93.23,93.365,90.395,1.744,1.395,1.776,1.383,0.2399
2021-Feb,46022.39,33114.57724,58330.57214,32384.22811,45137.77047,1.84E+12,5142569,5149714,-7145,-15087,-60953,18463,13202,14201,7942,-4511,11185,1304,-36,2171889,2160203,11686,8582,3104,-37146,12043,20495,-7670,28165,99568,74465,40484,33981,263.014,1808.17,3731.17,3950.43,3725.62,3811.15,99082320000,93.236,90.9,93.47,90.635,1.407,1.071,1.614,1.06,0.3138
2021-Jan,34581.71,28994.00892,41946.73935,28722.75527,33114.35775,1.68E+12,4614553,4580873,33680,3048,-50288,26071,18516,8749,30632,1274,26105,360,2893,2012077,1955055,57022,34771,22251,49474,-11199,-12237,-29337,17100,49959,88234,17925,70309,261.582,1866.98,3764.61,3870.9,3662.71,3714.24,1.06E+11,90.882,90.545,91.605,89.675,1.071,0.93,1.187,0.906,0.1681
2020-Dec,21811.93,19633.77045,29244.87669,17619.53239,29001.71982,2.27E+12,4492408,4394666,97742,86317,-18416,38982,-12552,78303,11425,-2280,12254,1157,294,1749339,1725687,23652,13359,10293,77069,-23375,3225,13072,-9847,-62844,-9150,-7188,-1962,260.474,1858.42,3645.87,3760.2,3633.4,3756.07,96375680000,90.569,89.87,90.94,89.165,0.916,0.847,0.986,0.834,0.0882
2020-Nov,16526.48,13780.99481,19749.26369,13243.15987,19625.83503,2.15E+12,4077155,3952147,125008,111697,30809,23288,-1790,59390,13311,-21162,30103,2657,1713,2139664,2116424,23240,13194,10046,105953,-1375,12956,17551,-4595,21256,125834,120457,5376,260.229,1866.3,3296.2,3645.99,3279.74,3621.63,1.01E+11,89.894,91.9,91.915,89.475,0.842,0.855,0.975,0.718,-0.0361
2020-Oct,11836.3,10795.25474,14028.21429,10416.6892,13780.9947,1.21E+12,3557607,3526967,30640,-6151,-26095,20691,-21468,20721,36791,6022,28257,-43,2555,2115945,2095514,20431,9540,10891,9146,-10274,-6164,-10092,3928,-14181,-15309,-55762,40452,260.388,1900.27,3385.87,3549.85,3233.94,3269.96,89938980000,91.858,94.095,94.33,91.49,0.874,0.689,0.877,0.653,0.2742
2020-Sep,10666.22,10802.03547,12059.87014,9901.905755,10784.49158,1.14E+12,3835681,3757464,78217,58582,16424,34676,-29937,37419,19635,6107,11572,1211,745,2041576,2010924,30652,23543,7109,68388,-56459,-30333,-16800,-13533,-88998,-77069,-58587,-18482,260.28,1921.92,3507.44,3588.11,3209.45,3363,92310780000,94.042,93.865,94.14,92.46,0.686,0.713,0.731,0.604,-0.0293
